HEADER
VTF File Version,1.0
VTF File Type,0
PID,1687471
Generated on,2023-11-24 15:30:12
Resolution,ms
Min Resolution,ns
Trace Version,1.0
XRT Version,2023.1

STRUCTURE
Group_Start,Native API Host Trace
Dynamic_Row,1,Native XRT API Calls,API Events
Group_Start,Host to Device Data Transfers
Dynamic_Row,2,Reads,Read Transfers
Dynamic_Row,3,Writes,Write Transfers
Group_End,Host to Device Data Transfers
Group_End,Native API Host Trace

MAPPING
220,0,783.632331,1,API_CALL,29
221,220,783.632370,1,API_CALL,29
223,173,798.942478,1,API_CALL,19
224,0,798.954709,1,API_CALL,20
225,224,799.012172,1,API_CALL,20
228,0,799.166792,1,API_CALL,22
229,228,799.193380,1,API_CALL,22
236,0,799.208455,1,API_CALL,22
237,236,799.221500,1,API_CALL,22
244,0,799.230600,1,API_CALL,22
245,244,799.242759,1,API_CALL,22
260,0,799.296906,1,API_CALL,29
261,260,799.299545,1,API_CALL,29
262,0,799.301619,1,API_CALL,29
263,262,799.301654,1,API_CALL,29
265,0,799.306685,1,API_CALL,29
266,265,799.306726,1,API_CALL,29
267,0,799.307955,1,API_CALL,29
268,267,799.307990,1,API_CALL,29
269,0,799.314507,1,API_CALL,34
270,0,799.314536,3,API_CALL,35
271,269,799.352034,1,API_CALL,34
272,270,799.352034,3,API_CALL,35
273,0,799.426598,1,API_CALL,34
274,0,799.426629,3,API_CALL,35
276,274,799.443921,3,API_CALL,35
275,273,799.443921,1,API_CALL,34
278,0,799.455645,1,API_CALL,29
279,278,799.455737,1,API_CALL,29
280,0,799.457737,1,API_CALL,29
281,280,799.457773,1,API_CALL,29
286,0,799.510526,1,API_CALL,29
287,286,799.510636,1,API_CALL,29
288,0,799.514033,1,API_CALL,29
289,288,799.514093,1,API_CALL,29
290,0,799.516293,1,API_CALL,29
291,290,799.516329,1,API_CALL,29
293,0,799.532974,1,API_CALL,40
294,293,799.556971,1,API_CALL,40
300,0,799.618777,1,API_CALL,29
301,300,799.618900,1,API_CALL,29
302,0,799.620553,1,API_CALL,29
303,302,799.620588,1,API_CALL,29
305,0,799.624109,1,API_CALL,29
306,305,799.624146,1,API_CALL,29
307,0,799.625459,1,API_CALL,29
308,307,799.625495,1,API_CALL,29
309,0,799.629837,1,API_CALL,34
310,0,799.629869,2,API_CALL,43
313,309,799.646295,1,API_CALL,34
314,310,799.646295,2,API_CALL,43
316,0,799.663855,1,API_CALL,29
317,316,799.663920,1,API_CALL,29
318,0,799.665107,1,API_CALL,29
319,318,799.665140,1,API_CALL,29
324,0,800.009342,1,API_CALL,19
325,324,828.549459,1,API_CALL,19
326,0,828.561042,1,API_CALL,20
327,326,828.619605,1,API_CALL,20
330,0,828.770961,1,API_CALL,22
331,330,828.797908,1,API_CALL,22
338,0,828.811497,1,API_CALL,22
339,338,828.824468,1,API_CALL,22
346,0,828.834135,1,API_CALL,22
347,346,828.845984,1,API_CALL,22
362,0,828.893539,1,API_CALL,29
363,362,828.896123,1,API_CALL,29
364,0,828.897914,1,API_CALL,29
365,364,828.897989,1,API_CALL,29
367,0,828.903683,1,API_CALL,29
368,367,828.903726,1,API_CALL,29
369,0,828.905006,1,API_CALL,29
370,369,828.905044,1,API_CALL,29
371,0,828.911528,1,API_CALL,34
372,0,828.911559,3,API_CALL,35
374,372,828.934466,3,API_CALL,35
373,371,828.934466,1,API_CALL,34
375,0,828.952458,1,API_CALL,34
376,0,828.952487,3,API_CALL,35
377,375,828.966064,1,API_CALL,34
378,376,828.966064,3,API_CALL,35
380,0,828.975875,1,API_CALL,29
381,380,828.975946,1,API_CALL,29
382,0,828.977443,1,API_CALL,29
383,382,828.977478,1,API_CALL,29
388,0,829.030443,1,API_CALL,29
389,388,829.030562,1,API_CALL,29
390,0,829.034129,1,API_CALL,29
391,390,829.034165,1,API_CALL,29
392,0,829.036683,1,API_CALL,29
393,392,829.036719,1,API_CALL,29
395,0,829.052337,1,API_CALL,40
396,395,829.077206,1,API_CALL,40
402,0,829.136380,1,API_CALL,29
403,402,829.136537,1,API_CALL,29
404,0,829.139310,1,API_CALL,29
405,404,829.139346,1,API_CALL,29
407,0,829.143890,1,API_CALL,29
408,407,829.143925,1,API_CALL,29
409,0,829.145035,1,API_CALL,29
410,409,829.145068,1,API_CALL,29
411,0,829.150356,1,API_CALL,34
412,0,829.150386,2,API_CALL,43
414,411,829.166977,1,API_CALL,34
415,412,829.166977,2,API_CALL,43
417,0,829.174764,1,API_CALL,29
418,417,829.174821,1,API_CALL,29
419,0,829.176208,1,API_CALL,29
420,419,829.176244,1,API_CALL,29
426,0,829.518116,1,API_CALL,19
427,426,857.949565,1,API_CALL,19
428,0,857.961391,1,API_CALL,20
429,428,858.021891,1,API_CALL,20
432,0,858.175768,1,API_CALL,22
433,432,858.203788,1,API_CALL,22
440,0,858.218212,1,API_CALL,22
441,440,858.232778,1,API_CALL,22
448,0,858.241529,1,API_CALL,22
449,448,858.253815,1,API_CALL,22
464,0,858.311692,1,API_CALL,29
465,464,858.314533,1,API_CALL,29
466,0,858.316566,1,API_CALL,29
467,466,858.316631,1,API_CALL,29
469,0,858.321796,1,API_CALL,29
470,469,858.321839,1,API_CALL,29
471,0,858.322832,1,API_CALL,29
472,471,858.322871,1,API_CALL,29
473,0,858.329466,1,API_CALL,34
474,0,858.329506,3,API_CALL,35
475,473,858.350214,1,API_CALL,34
476,474,858.350214,3,API_CALL,35
477,0,858.367926,1,API_CALL,34
478,0,858.367956,3,API_CALL,35
480,477,858.385992,1,API_CALL,34
481,478,858.385992,3,API_CALL,35
